conversation_id,created_at,text,likes,replies,retweets,author.name,followers,following,author.public_metrics.tweet_count
1167149972728532998,2019-08-29 19:00:12+00:00,Holidays can last 4 months right? #ShareaCoke,269,84,48,Coca-Cola,3394784,57818,288338
1108462539539664898,2019-03-20 20:17:18+00:00,Knowing that we have to wait until July 4th for #StrangerThings3 is really turning our world upside down.,273,10,43,Target,2163167,2598,98187
1325845606389043200,2020-11-09 17:00:00+00:00,"There’s a reason people love TV, but hate their TV providers. It’s time to cut the cord on annual contracts and exploding plans and turn on #TVision. #EndTheCableNightmare ",285,30,53,T-Mobile,1488886,12594,549747
1156667858266599426,2019-07-31 20:48:01+00:00,"Shantell “Princess” Pooser thought that becoming the first special needs #AATeam flight attendant for us last year was the highlight of her aviation dreams. That is, until this past week when we came together to give her an experience she will never forget. :crown: #SavingShannie ",286,21,58,americanair,1651218,105214,2453370
1215384982773850112,2020-01-09 21:28:55+00:00,Psst... In-flight WiFi is free With #TMobileWingman :airplane:,300,38,23,T-Mobile,1488887,12594,549747
1090255139934416896,2019-01-29 14:27:35+00:00,"Verizon and AT&amp;T are the Milli Vanilli of 5G. Whether 5GE (Milli) or 5G TF (Vanilli), :microphone: girl you know it’s not true 5G :face_with_tears_of_joy:. #CarrierPalooza ",305,43,56,T-Mobile,1488936,12594,549747
1403057716633866242,2021-06-10 18:33:21+00:00,"This is why everything else comes with a manual. Watch Kevin Hart take on one of the toughest job in the world: fatherhood.   FATHERHOOD, only on Netflix June 18. ",331,20,24,Netflix,20150580,2163,45491
1462468101623230471,2021-11-21 17:09:01+00:00,"How we fly: Unlocks T-Mobile in-flight perks to re-binge ◯△▢ (iykyk)  How the person next to you flies: “Wait, you have free Wi-Fi?”",350,59,42,T-Mobile,1488895,12594,549747
1217515655496257536,2020-01-15 18:35:27+00:00,Everyone: I get stressed out about my phone bill while I travel internationally.  Everyone else traveling with T-Mobile:,421,66,45,T-Mobile,1488887,12594,549747
1329107097347366916,2020-11-18 17:00:00+00:00,It’s your last chance to win with @OnePlus_USA! We dropped a Pop-Up in an unexpected location within our nationwide 5G network. Guess where it is for your chance to win bigger! No need to visit – just use your:mobile_phone:to enter at #OnePlusGoFarther,445,132,60,T-Mobile,1488886,12594,549747
1296485567744675843,2020-08-20 16:33:41+00:00,"I tried explaining, but they didn’t understand. :pensive_face: ",456,20,23,Target,2163165,2598,98187
1167879454170832900,2019-08-31 19:18:54+00:00,Summer is officially cancelled according to @gherbo :face_with_steam_from_nose: Listen to his new track now,457,10,106,Spotify,6153119,17720,38736
1390019776244817926,2021-05-05 19:05:14+00:00,Early steel bird catches the :bug:. Are you team sunrise or sunset? :sun:  :camera: by: ramp_life/Instagram,465,61,45,americanair,1651218,105214,2453371
1279415179143524354,2020-07-04 14:02:03+00:00,"""This isn’t the first time our country has faced hardships, and it probably won’t be the last, but I know we are stronger when we work together.”   —David Seymour, Chief Operating Officer and Military Veteran  #IndependenceDay ",473,295,63,americanair,1651217,105214,2453369
